Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",148.519584,-94.508695,-90.000000,top
"C2","100n","C_0402_1005Metric",137.519584,-106.008695,0.000000,top
"C3","100n","C_0402_1005Metric",135.520000,-89.758695,180.000000,top
"C4","100n","C_0402_1005Metric",144.269584,-106.008695,180.000000,top
"C5","4.7u","C_0402_1005Metric",144.269584,-107.758695,0.000000,top
"C6","10n","C_0402_1005Metric",132.519584,-103.258695,90.000000,top
"C7","1u","C_0402_1005Metric",130.750000,-103.258695,90.000000,top
"C8","1u","C_0402_1005Metric",137.539584,-109.008695,180.000000,top
"C9","100n","C_0402_1005Metric",132.250000,-99.000000,-90.000000,top
"C10","100n","C_0402_1005Metric",132.519584,-91.778695,90.000000,top
"C11","1u","C_0402_1005Metric",130.750000,-91.750000,90.000000,top
"C12","20p","C_0402_1005Metric",121.500000,-101.000000,-90.000000,top
"C13","20p","C_0402_1005Metric",121.500000,-98.000000,90.000000,top
"C14","10p","C_0402_1005Metric",121.750000,-92.000000,90.000000,top
"C15","10p","C_0402_1005Metric",121.750000,-94.750000,-90.000000,top
"C16","10u","C_0402_1005Metric",151.500000,-107.000000,180.000000,top
"C17","10u","C_0402_1005Metric",157.750000,-107.000000,180.000000,top
"C18","1u","C_0402_1005Metric",156.980000,-112.000000,0.000000,top
"C19","1u","C_0402_1005Metric",159.730000,-112.000000,180.000000,top
"D1","RED","LED_0603_1608Metric",154.750000,-97.250000,180.000000,top
"FB1","120R","L_0603_1608Metric",132.269584,-106.508695,-90.000000,top
"J2","USB_C_Receptacle_PowerOnly_6P","USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal",170.000000,-99.250000,90.000000,top
"R1","390","R_0402_1005Metric",123.500000,-99.250000,-90.000000,top
"R2","10k","R_0402_1005Metric",137.770416,-89.750000,0.000000,top
"R3","5k1","R_0402_1005Metric",163.000000,-98.250000,-90.000000,top
"R4","5k1","R_0402_1005Metric",163.000000,-100.500000,-90.000000,top
"R5","1k","R_0402_1005Metric",158.000000,-97.250000,180.000000,top
"R6","2k4","R_0402_1005Metric",149.750000,-102.750000,90.000000,top
"R7","10k","R_0402_1005Metric",129.000000,-106.250000,0.000000,top
"R8","10k","R_0402_1005Metric",128.960000,-112.700000,0.000000,top
"R9","10k","R_0402_1005Metric",160.500000,-104.490000,-90.000000,top
"SW1","POWER_BTN","SW_Push_1P1T_NO_CK_KMR2",124.200000,-107.200000,0.000000,top
"SW2","DIST_BTN","SW_Push_1P1T_NO_CK_KMR2",124.200000,-113.450000,0.000000,top
"U1","STM32L476RETx","LQFP-64_10x10mm_P0.5mm",140.519584,-98.008695,0.000000,top
"U2","TP4056-42-ESOP8","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",155.250000,-102.500000,0.000000,top
"U3","ME6211C33M5","SOT-23-5",158.112500,-115.200000,0.000000,top
"Y1","32kHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",118.950000,-93.500000,0.000000,top
"Y2","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",118.750000,-100.250000,90.000000,top
